Year,Lower Emissions (RCP 4.5) Avg.,Lower Emissions (RCP 4.5) Range (low),Lower Emissions (RCP 4.5) Range (high),Higher Emissions (RCP 8.5) Avg.,Higher Emissions (RCP 8.5) Range (low),Higher Emissions (RCP 8.5) Range (high),Historic Avg.,Historic Range (low),Historic Range (high)
1950,,,,,,,3.101387933,1.761983529,4.543034147
1951,,,,,,,3.092487933,1.75309262,4.53525642
1952,,,,,,,3.086098792,1.74128324,4.531998736
1953,,,,,,,3.07907544,1.731266574,4.525177765
1954,,,,,,,3.070653305,1.718995825,4.520125149
1955,,,,,,,3.062770607,1.709017571,4.512399434
1956,,,,,,,3.057428047,1.702998345,4.506738125
1957,,,,,,,3.052939865,1.698126794,4.498167589
1958,,,,,,,3.050292152,1.692177354,4.492308517
1959,,,,,,,3.049046037,1.686561982,4.488276102
1960,,,,,,,3.049633982,1.681356644,4.48592723
1961,,,,,,,3.050318585,1.673135306,4.483940802
1962,,,,,,,3.048227301,1.662187205,4.478794406
1963,,,,,,,3.047177702,1.652299192,4.475202565
1964,,,,,,,3.046894158,1.644758682,4.471749459
1965,,,,,,,3.04672294,1.636433589,4.469707068
1966,,,,,,,3.047488161,1.629866227,4.469684438
1967,,,,,,,3.049685822,1.62532682,4.471634971
1968,,,,,,,3.053228936,1.624040875,4.472404436
1969,,,,,,,3.058394855,1.624554697,4.473344512
1970,,,,,,,3.064361878,1.627036838,4.47375439
1971,,,,,,,3.072821589,1.634246298,4.475137256
1972,,,,,,,3.082384264,1.641976645,4.475769479
1973,,,,,,,3.092777414,1.652548681,4.475621638
1974,,,,,,,3.104859166,1.662905804,4.478590736
1975,,,,,,,3.11878368,1.678149883,4.48310151
1976,,,,,,,3.132814473,1.692332457,4.487617594
1977,,,,,,,3.146545363,1.70601653,4.493117189
1978,,,,,,,3.160209538,1.717820059,4.500418975
1979,,,,,,,3.173557606,1.731412254,4.507733406
1980,,,,,,,3.187456704,1.745505222,4.514865624
1981,,,,,,,3.200110216,1.760955928,4.520949169
1982,,,,,,,3.213877597,1.780294252,4.529960032
1983,,,,,,,3.229063711,1.801437805,4.54135182
1984,,,,,,,3.245937108,1.824579946,4.554380004
1985,,,,,,,3.264192559,1.847036311,4.569431309
1986,,,,,,,3.284397097,1.872295813,4.587516461
1987,,,,,,,3.306202724,1.899705483,4.605425336
1988,,,,,,,3.330096042,1.931938893,4.626293278
1989,,,,,,,3.354966483,1.964341318,4.64884316
1990,,,,,,,3.379864206,1.997056843,4.673483995
1991,,,,,,,3.406373817,2.028906585,4.703432435
1992,,,,,,,3.432717262,2.058978305,4.734038565
1993,,,,,,,3.459900818,2.0881508,4.766493615
1994,,,,,,,3.48725181,2.117829683,4.799197028
1995,,,,,,,3.515240359,2.150392561,4.832093739
1996,,,,,,,3.544110809,2.181929217,4.864859472
1997,,,,,,,3.575181519,2.215395545,4.903112514
1998,,,,,,,3.607598465,2.247725918,4.94213931
1999,,,,,,,3.641888738,2.282697866,4.982461291
2000,,,,,,,3.677126032,2.317174824,5.023601038
2001,,,,,,,3.711907099,2.352342633,5.064733726
2002,,,,,,,3.748295536,2.387560777,5.107404348
2003,,,,,,,3.784548044,2.421583086,5.148679654
2004,,,,,,,3.821435224,2.454267667,5.190135353
2005,,,,,,,3.858835955,2.48499364,5.230735979
2006,3.850119621,2.436845519,5.243898398,3.896792797,2.518473103,5.271074342,,,
2007,3.882386273,2.46284727,5.282258839,3.934700736,2.552128185,5.308916956,,,
2008,3.914520094,2.485547755,5.322642088,3.972287785,2.585073715,5.346665272,,,
2009,3.94680559,2.508618393,5.361978156,4.008931167,2.615404648,5.383999757,,,
2010,3.979261772,2.531002325,5.402230827,4.046607101,2.646402274,5.42464776,,,
2011,4.012503743,2.55332967,5.439420206,4.086350152,2.677998403,5.464775687,,,
2012,4.045366801,2.577190238,5.473920722,4.12650935,2.71299431,5.502338652,,,
2013,4.077419631,2.60083834,5.508268798,4.167214219,2.74826185,5.541950678,,,
2014,4.109982055,2.625664778,5.542609906,4.207785404,2.782412242,5.583819777,,,
2015,4.143155789,2.652128619,5.579644598,4.248600562,2.817029049,5.627557743,,,
2016,4.176808434,2.68051339,5.62074316,4.289298231,2.850517687,5.672881711,,,
2017,4.210747678,2.707889914,5.663655169,4.330122738,2.884988219,5.719858719,,,
2018,4.244609785,2.736802233,5.705678508,4.370069515,2.919055606,5.764671354,,,
2019,4.279186415,2.765813693,5.748696224,4.410224491,2.955470064,5.80888188,,,
2020,4.314544675,2.797385314,5.791917169,4.450375672,2.992500502,5.852109202,,,
2021,4.349067624,2.828420927,5.835368007,4.4908143,3.029499624,5.897381761,,,
2022,4.383152257,2.85848077,5.876520117,4.531355459,3.061433965,5.944540523,,,
2023,4.418200599,2.887572092,5.918020567,4.571844827,3.094187359,5.992101206,,,
2024,4.453364113,2.917263518,5.958578836,4.614015678,3.131311065,6.041676294,,,
2025,4.487829043,2.946419819,5.996635096,4.656682187,3.169448556,6.091389532,,,
2026,4.521550328,2.976268245,6.033198881,4.698777725,3.206785205,6.140890586,,,
2027,4.554898821,3.00893181,6.070159516,4.740575958,3.240516678,6.189485801,,,
2028,4.587964576,3.03908212,6.105514263,4.782635214,3.272158807,6.241009805,,,
2029,4.620201662,3.069238892,6.138269458,4.824942384,3.301202077,6.293185707,,,
2030,4.652133021,3.097765581,6.169362224,4.868118417,3.330294313,6.346473919,,,
2031,4.685238869,3.12424651,6.200517294,4.910868694,3.358788892,6.395653358,,,
2032,4.718941086,3.150172553,6.236363559,4.953527999,3.389995141,6.446407842,,,
2033,4.75260853,3.17609542,6.272491465,4.997449967,3.420302638,6.498654889,,,
2034,4.787087854,3.201346231,6.309738173,5.04168644,3.448008856,6.549567591,,,
2035,4.822611737,3.229064727,6.348621324,5.087164839,3.478250015,6.600952385,,,
2036,4.857548245,3.252375669,6.384078903,5.133902327,3.508322845,6.656198639,,,
2037,4.893116506,3.273930936,6.417246522,5.181938887,3.541032278,6.713074129,,,
2038,4.92882578,3.29715501,6.44989777,5.230678081,3.575663091,6.770311667,,,
2039,4.964389195,3.319699425,6.483973515,5.281040314,3.612293193,6.830667775,,,
2040,5.00018742,3.340373039,6.52138518,5.331962325,3.649662631,6.894359877,,,
2041,5.035553635,3.361736116,6.559600668,5.383591846,3.686727646,6.962322593,,,
2042,5.071857111,3.384673035,6.596823814,5.436592848,3.726011999,7.030402689,,,
2043,5.109184284,3.408632348,6.636801675,5.490928239,3.769496093,7.102116149,,,
2044,5.14609201,3.433600501,6.677298048,5.545872921,3.81439115,7.176252825,,,
2045,5.182307096,3.45472478,6.718416956,5.600466078,3.856924843,7.25245953,,,
2046,5.219725019,3.47713623,6.762797124,5.65601182,3.8990315,7.329690892,,,
2047,5.256325425,3.49804485,6.808162866,5.712292742,3.940391162,7.407927646,,,
2048,5.293581708,3.520172861,6.853811308,5.770930155,3.982381491,7.491185717,,,
2049,5.33176191,3.544372363,6.90300555,5.831418628,4.027260024,7.575612799,,,
2050,5.369263857,3.56990108,6.949875535,5.892417157,4.073749448,7.658909225,,,
2051,5.406016619,3.595741749,6.99739037,5.954372063,4.122382965,7.743671063,,,
2052,5.441731615,3.621979034,7.044726445,6.016960055,4.171523616,7.831615813,,,
2053,5.477092925,3.650164978,7.088097287,6.080712963,4.219233175,7.920134992,,,
2054,5.512185333,3.674662554,7.131859742,6.144939318,4.267555498,8.008827006,,,
2055,5.546274725,3.699214559,7.173946635,6.210027601,4.318492568,8.100186707,,,
2056,5.578306328,3.723188018,7.214604504,6.274703447,4.371047057,8.188860202,,,
2057,5.610298355,3.749212571,7.255670351,6.339973254,4.42626875,8.274626447,,,
2058,5.641123616,3.775025503,7.297209892,6.404873685,4.482992292,8.356520884,,,
2059,5.670604483,3.799498958,7.336344331,6.469255771,4.538685316,8.437385868,,,
2060,5.700392642,3.824429906,7.377147264,6.534193045,4.594093208,8.517450955,,,
2061,5.729945353,3.850330152,7.413891201,6.599844434,4.648505219,8.59719699,,,
2062,5.758834721,3.874307047,7.448093761,6.66565435,4.701859576,8.677835183,,,
2063,5.786338531,3.893400179,7.484042902,6.730981171,4.755042816,8.756985855,,,
2064,5.812116411,3.913647898,7.517881554,6.7967917,4.810958243,8.834442251,,,
2065,5.837652223,3.93503552,7.551815499,6.862898624,4.864749459,8.908964139,,,
2066,5.863723436,3.958744437,7.585220875,6.930414827,4.920426949,8.983027585,,,
2067,5.888416912,3.979179646,7.618446859,6.997205602,4.976575072,9.057678965,,,
2068,5.91221152,3.997220517,7.650413728,7.064280308,5.034948515,9.135298906,,,
2069,5.934497408,4.011158991,7.681568628,7.130328036,5.094798345,9.209977413,,,
2070,5.954982781,4.02438689,7.708487525,7.195095703,5.153274823,9.284721375,,,
2071,5.974294219,4.036679059,7.736102507,7.259579464,5.213280219,9.360547329,,,
2072,5.992744408,4.04976802,7.763216929,7.323872922,5.272095927,9.434259628,,,
2073,6.01011375,4.06583445,7.788143778,7.387339812,5.331901607,9.50606896,,,
2074,6.026457423,4.080789496,7.81342235,7.449020298,5.388797486,9.574731339,,,
2075,6.041221815,4.09669579,7.835414569,7.509582252,5.445680135,9.642693142,,,
2076,6.054744521,4.110720066,7.856085529,7.568985204,5.499399318,9.708517788,,,
2077,6.068294948,4.126979648,7.874301562,7.628329009,5.551422101,9.777604923,,,
2078,6.081937582,4.14499561,7.893627173,7.686713358,5.598904409,9.844204071,,,
2079,6.095163963,4.16242925,7.9104378,7.745614181,5.642760455,9.914108214,,,
2080,6.108363286,4.178920822,7.927736452,7.805851395,5.687307055,9.985073736,,,
2081,6.121146469,4.192989753,7.943385487,7.865795818,5.73059137,10.05610395,,,
2082,6.132351021,4.205560819,7.95763022,7.923748816,5.774250389,10.123415,,,
2083,6.1424808,4.216465075,7.972102152,7.98015357,5.81547042,10.18792589,,,
2084,6.152211354,4.230396318,7.981954305,8.034905506,5.856662267,10.25177603,,,
2085,6.162726614,4.242687745,7.993461337,8.087790448,5.89469604,10.31158149,,,
2086,6.172146349,4.254142084,8.00097147,8.139455806,5.933824316,10.37210088,,,
2087,6.180520125,4.263359662,8.007149735,8.188596316,5.968615036,10.42773105,,,
2088,6.188401934,4.274600913,8.008848688,8.235597729,6.003397553,10.48225975,,,
2089,6.196994012,4.289640111,8.010937236,8.279936285,6.035009627,10.53138576,,,
2090,6.204894953,4.303462684,8.010899235,8.321968057,6.063460488,10.57794829,,,
2091,6.212749717,4.317085364,8.011741162,8.36235611,6.092384526,10.62019102,,,
2092,6.22207084,4.329622905,8.015195809,8.402534113,6.119131299,10.66374241,,,
2093,6.231695288,4.341206298,8.016694645,8.440295732,6.14470617,10.70555204,,,
2094,6.24304537,4.346945107,8.023396858,8.479751307,6.166533377,10.7510273,,,
2095,6.253508533,4.349194769,8.026518741,8.519231384,6.188774572,10.80161483,,,
2096,6.265755632,4.350372291,8.036438204,8.557603206,6.207379739,10.85074516,,,
2097,6.27914952,4.351767882,8.047386184,8.597020582,6.231283452,10.90352198,,,
2098,6.291636006,4.344954317,8.057439297,8.63848075,6.253886667,10.95407734,,,
2099,6.302627528,4.329215026,8.062015506,8.679879561,6.28490484,11.01305234,,,